Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
Revenant,Any,Very rare,Solitary,Night,,See below,Nil,Neutral,1,10,9,8,13 (base),1,16-Feb,Paralyzation,See below,See below,M (5-6'),See below,"3,000"
Reverend One,"Olympus, prime material plane",Rare,Band or army,Any,,Average to high (9-14),Nil,Chaotic or neutral good,10d10,2,15,8+3,12,2,1-10 (x2) or by weapon,"Destroy undead, enchanted weapons",Light armor,10%,M (6' tall average),Fanatic (18),"3,000"
Rhaumbusun,"Warm, dry regions",Rare,Mated pairs,Day,Herbivore,Semi- (2-4),"O, possibly Q or R",Neutral,45294,6,9,1+2,19,1,3-Jan,Gaze,Nil,Nil,S (2-2½'),Steady (11-12),120
Riding Lizard,Any subterranean,Common,Solitary or pack,Any,Omnivore,Average (8-10),Nil (except as carried),Lawful neutral,45297,7,"16, Sw 20",5,15,3,2-8/2-12/2-12,Nil,See below,Nil,H (stands 12' high; tail is another 8-10' long),Elite (13-14),975
Ring-Worm,Any,Very rare,Solitary,Any,Special,Non (0),Nil,Neutral,1,2,1,1 hp,,Nil,Nil,See below,See below,Nil,T (1-2&rdquo; long),Special,35
Roc,Subtropical/Mountains,Rare,Solitary,Day,Omnivore,Animal (1),C,Neutral,45293,4,"3, Fl 30",18,3,2 or 1,3-18/3-18 or 4-24,Surprise,Nil,Nil,G (60' long + wingspan),Steady (11),"10,000"
Rock Hopper,Asteroids,Common,Clan/crew,Day,Omnivore,Average (8-10),U,Lawful good,5-12 per skiff,7,6,2,19,1,6-Jan,Nil,Multiple bodies,Nil,S (3' tall),Average (8-10),35
Rogue Hero,Any/ruins,Very Rare,,Any,Sacrifices,14,,Any chaotic,1,4,9,6,15,1,By traditional weapon,Cause disease and curse twice each per day,+2 or better to hit,Nil,M,Fearless (20),"2,000"
Roper,Subterranean,Rare,Solitary,Darkness,Carnivore,Exceptional (15-16),See below,Chaotic evil,45294,0,3,12-Oct,10 HD: 11<br>11-12 HD: 9,1,20-May,"Strands, strength drain",See below,80%,L (9' long),Champion (15),"10 HD: 10,000<br>11 HD: 11,000<br>12 HD: 12,000"
Rot Grub,Any land,Uncommon,Swarm,Any,Scavenger,Non- (0),Nil,Neutral,45432,9,1,1 hp,0,0,Nil,See below,Nil,Nil,T (1&rdquo; long),Unsteady (5),15
"Rothe, Deep",Any/subterranean,Uncommon,Herd,Any,Herbivore,Animal (1),Nil,Neutral,45342,7,9,2,19,3 + special,1-3/1-3/1-8,Charge,See below,Nil,M (4' high),Average (10),65
Rust Monster,Subterranean,Uncommon,Solitary,Night,Metalavore,Animal (1),Q,Neutral,45293,2,18,5,15,2,Nil,See below,Nil,Nil,M (5' long),Average (9),270
Sacaanti,Any,Very rare,Solitary,Any,Carnivore,Average (8-10),T,Any evil,1,2,"6, Fl 24 (B)",4,17,3,1d3/1d3/1d3+1,"Poison bite, wizard spells","Etherealness, regeneration",25%,S (2' tall),Steady (11-12),"2,000"
Sahuagin,Temperate/Salt water,Uncommon,Tribal,Night,Carnivore,High (13-14),"N (I,O,P,Q&times;10,X,Y)",Lawful evil,20-80,5,"12, Sw 24",2+2,19,1 or see below,1-2/1-2/1-4/1-4/1-4 or weapon type,See below,See below,Nil,"M (6'), some L (9')",Steady (12),"175<br>Lieutenant: 270<br>Chieftain: 420<br>Priestess: 650<br>Baron: 975<br>Prince: 2,000"
Sand Cat,Desert or dry steppe,Uncommon,Den,Night,Carnivore,Animal (1),Nil,Neutral,45295,8,15,1+1,19,3,1-4/ 1-3/ 1-3,"Rear claws 1-2, surprise",Surprise,Nil,S (2-3'),Average (8-10),120
Sand Spawn,Special,Rare,Pack,Any,,Low (6),R,Chaotic evil,3d8,2,15,5,15,1,1d12,Cause blindness,+1 or better weapons needed to hit,Nil,M (6' tall),Fanatic (18),975
"Sandiraksiva, The Black Courser",High mountain meadow/tundra,Very Rare (unique),Solitary or herd,Day,Special,Average (8-10),,Neutral,1,2,"28, Fl 30",8 (45 hit points),13,2 or breath weapon,1-8+7/1-8+7/ or 5-30 (breath),Breath weapon,Only hit by +1 or better weapon,55%,L (8' at shoulder),Fanatic (19),"5,000"
Saqualaminoi,Cold mountains,Very rare,Family groups,Day,Carnivore,Low (5-7),"(R,W)",Neutral,1d6,5,9,8,13,2,2d8/2d8,Nil,Immune to cold,Nil,L (10'),Average (10),"2,000"
Satyr,Temperate sylvan woodlands,Uncommon,Band,Any,Omnivore,Very (11-12),"I,S,X",Neutral,2-8 (2d4),5,18,5,15,1,2-8 or by weapon,See below,See below,50%,M (5' tall),Elite (13),975
Scalamagdrion,Subarctic caverns,Very rare,Solitary,Any,Carnivore,Average (8-10),"(S,Q,V&times;3)",Neutral,1,6,"15, Fl 9(C)",6+6,13,4 or 6,1d6/1d6/2d6/3d4 or 1d6/1d6/1d6/1d6/2d6/3d4,Pin,"Spell turning, silence",Nil,H (20' long),Fearless (19-20),"5,000"
Scarecrow,Any/Land,Very rare,Solitary,Any,,Non- (0),Nil,Any evil,1,6,6,5,15,1 + gaze,1-6 + charm,Charm (see below),See below,Nil,M (6' tall),Elite (13-14) (if conscious),"1,400"
Scavenger Spawn,Special,Rare,Pack,Any,Carnivore,Low (7),Nil,Chaotic evil,4d10,5,"6, Fl 21 (B)",4+4,17,3 or 1,1d8/1d8/1d6 or 1d6,Slow,+1 or better weapons needed to hit,Nil,"M (5' tall, 10' wingspan)",Elite (14),975
Scorpion,Any,Rare,Solitary,Any,Omnivore,Semi (2-4),Nil,Neutral,45293,3,12,4+4,17,2,2-8/1-3,Poison,Nil,Nil,M (4’-6’),Average (10),420
"Sea Horse, Giant",All except arctic/Ocean,Common,Schools,Any,Herbivore,Semi- (2-4),Nil,Neutral,45311,7,Sw 21,4-Feb,2 HD: 19<br>3-4 HD: 17,1,"1-4, 2-5, or 2-8",Constriction,Nil,Nil,L (8-12' long),Average (10),2 HD: 35<br>3 HD: 65<br>4 HD: 120
Sea Lion,Coastal marine,Uncommon,Packs,Day,Carnivore,Semi- (2-4),B,Neutral,45363,3-May,Sw 18,6,15,3,1-6/1-6/2-12,Mauling,Nil,Nil,L (15' long with tail),Steady (12),420
Selkie,Cold to subarctic waters,Very rare,Solitary or tribal,Any,Omnivore,Average to exceptional (8-16),"A (magic only), R",Neutral (good),1 or 12-30,5 (10 base in human form),"12, Sw 36",3+3,17,1,1-6 or by weapon type,Nil,Can change into human form,Nil,M (5-6' in either form),Steady (11-12),175<br>Leader: 420
Sha'az,Arctic glaciers,Rare,Feudal hives,Day,Carnivore,Average (8-10),Nil (G),Lawful neutral (good),2-12 (2d6),5 (4 with shield),"6, Fl 18 (B)",1,19,1 bite or weapon,1-4 or by weapon,Poison frost,Empathy,Nil,M (6' tall),Fearless (19),"Drone: 15<br>Warrior: 270<br>Queen: 1,400"
Shade,"Any land, Plane of Shadow",Very rare,Solitary,Twilight/night,Omnivore,Low to genius (5-18),"K,M,N,W (Varies)",Any nongood,45293,10 (or by armor type),15,10 (or by class &amp; level),11 (or by class&amp; level),1 (or by class &amp; level),By weapon (usually 1d8),"<i>Quasi-real images</i>, surprise","<i>Shadow images</i>, <i>blink</i>, regeneration",Variable,M (usually about 6' tall),Elite (13-14),"6,000 (or class &amp; level +7 HD)"
Shadeling,Any shadowy area,Very rare,Pack,"Twilight, early morning",Living shadows,Average (8-10),Nil,Neutral evil,1d10,0/as duplicated form,18/as duplicated form,Special/as duplicated form,Nil/as duplicated form,1/as duplicated form,Special/as duplicated form,See below,See below,See below,Special,Fearless (19-20),"1,400/variable"
Shadevari,Any,Very rare,Solitary,Any,Carnivore,Very (11-12),Nil,Neutral Evil,1d3,0,18,7+7,13,3,1d8+2(×2)/2d4,First strike,"Bat away missiles, +2 weapons or better to hit",33%,M,Fearless (20),"2,000"
Shadow,Any ruins or subterranean chambers,Rare,Roving bands,Night or darkness,Living beings,Low (5-7),F,Chaotic evil,2-20 (2d10),7,12,3+3,17,1,5-Feb,Strength drain,+1 or better weapon to hit,See below,M (6' tall),Special,420
"Shadow, Slow",Any/Subterranean and ruins,Rare,Band,Any,Living beings,Low (5-7),F,Chaotic evil,45398,8,12,4,17,1,4-Jan,"Slow, surprise",+2 or better to hit,See below,M (4-6' across),Special,650
Shadowhound,Ice Spire/Abyss,Very rare,Pack,Any,Special,Low (5-7),Nil,Chaotic evil,2d4,3,16,3,17,1,1d8,Fear,+1 or better weapon to hit,5%,M,Elite (14),270
Shadowmasters (the Malaugrym),Any (Demiplane of Shadow),Very Rare,Clan,Any,Omnivore,Average to Genius,"R (personal), H (lair)",Chaotic evil,2d6,3,12,5+5,15,1,By weapon or spell,Surprise,"Immune to poison, silver/magical weapons needed to hit",25%,M,Champion (15),"2,000"
Shadowstaff,Any,Very rare,Solitary (or guardian groups),Any,,As in life,Nil,Lawful neutral,1 (1-8),6,"16, Fl 22 (A)",9+9,11,2,1d4+1 &times;4/1d4+1 &times;4 or by weapon type,"Spell use, <i>hold</i> touch","<i>Wraithform</i>, immunities",66%,M (average 6' tall),Fearless (20),"14,000"
Shalarin,Temperate and subtropical salt water,Very rare (Uncommon in Serôs),Caste,Any,Omnivore,Average to High (5-15),"Individual: N; G,S,T in lair",Neutral,45381,7,Sw 15,2+1,19,1,1d4+1 or by weapon,Spells,Nil,Nil,M (6'),Average (8-10),120
Shambling Mound,Wet subterranean or swamps and marshes,Rare,Solitary,Any,Omnivore,Low (5-7),"B,T,X",Neutral,45294,0,6,11-Aug,8 HD: 13<br>9-10 HD: 11<br>11 HD: 9,2,2-16/2-16,Suffocation,See below,Nil,L (6-9' tall),Fanatic (17-18),"8 HD: 6,000<br>(+1000 for each added Hit Die)"
Shark (Athas),The Last Sea,Uncommon,School,Any,Carnivore,Semi (4),Nil,Any evil,45363,4,Sw 24,5,15,1,8-Feb,Nil,Nil,Nil,L (10'+ long),Average (10),300
Sharn,Any/Land,Very rare,Clan,Any,Omnivore,Genius (17-18),Nil,Chaotic neutral,45303,2/6 (portal/tentacles or body),"4, Fl 14 (C)",6+6,15,12,2-5 &times;3 (heads)/1-2 or by weapon type &times;9 (3 tri-hands),<i>Ethereal portal</i> attacks,Regeneration,30%,H (16' long),Fanatic (18),"7,000"
Shee,Any/any,Rare,Solitary (always mounted),Any,Nil,Highly (13-14),Nil,Neutral evil,1,0,"(mounted) 24, Fl 18 (C)",9,11,1 or 2,2d8 + 2/2d6,"Death wail, Trample (mount)",See below,Nil,"M (but always mounted, on an L)",Fanatic (17),"7,000"
Shimmerweed,Temperate / Forest and plain,Rare,Patch,Moonlit nights,Special,Non- (0),Nil,Nil,13302,8,Nil,1 hit point,Not applicable,Nil,Nil,Confusion,Nil,Nil,T (6-18&rdquo; tall),Fearless (20),35
Silver Dog,Forest,Very rare,Solitary,Night,Water/moonlight,Genius (17-18),Nil,Neutral,1,-10,18,20,N/A (see below),N/A (see below),N/A (see below),Nil,See below,90%,M (5' long),Unsteady (5-7),"1,000 or -1,000"
Simpathetic,Plains,Very rare,Solitary or flock,Day,Carnivore/scavenger,High (13-14),Nil,Chaotic evil (see below),1-6 or 4-400+,7,"3, Fl 18 (B)",4 hp,20,1,4-Jan,Alignment alteration,Immune to fire-based attacks,90%,T (1' wingspan),Fanatic (17-18),650
Siren (Ravenloft),Ocean,Rare,Schools,Any,Carnivore,High (13-14),C,Neutral evil,45330,6,"8, Sw 18",4,17,2,2d4,"<i>Mass charm</i>, <i>advanced illusion</i>, disease",Nil,10%,M (5' tall),Steady (11-12),975
Sirine,"Temperate or tropical salt or fresh water, in wilderness areas",Rare (salt water) or very rare (fresh water),Solitary or family,Any,Omnivore,High to genius (13-18),"L,M,N,Q,X",Any,1 (2d4),3,"12, Sw 24",7-Apr,4 HD: 17<br>5-6 HD: 15<br>7 HD: 13,1,By weapon type,"Song, spell powers","Spell powers, water-breathing",20%,M (5-6' tall),Steady (11-12),"4 HD: 2,000 (+1,000 for each additional Hit Die)"
Sith,Remote areas,Rare,,Any,Blood,14,,Chaotic evil,1,0,12,5,16,1,Nil,Constitution Drain,+2 or better to hit,10%,M,Fearless (20),275
Skeleton,Any land,Very rare,Solitary,Any,,Non- (0),Nil,Neutral,1,Same as living dragon form +1,Same as living form; no flight,Same as living,Same as living,Same as living,Same as living,Physical dragon attack forms not using flight; spell-like abilities of living form,"All dragon type and age immunities from life; immune to <i>charm</i>, <i>hold</i>, <i>sleep</i>, paralysis, and poison; save as priests of a level equal to their HD while living",Same as living,Same as living,Fearless (20),Varies
"Skeleton, Giant",Any,Rare,Solitary,Any,,Non- (0),Nil,Neutral,2-8 (2d4),4,12,4+4,15,1,1d12,Nil,See below,Nil,L (12' tall),Fearless (20),975
"Skeleton, Warrior",Any,Very rare,Solitary,Any,Nil,Exceptional (15-16),A,Neutral evil,1,2,6,9+2 to 9+12,11,1,By weapon (+3 to attack roll),See below,See below,90%,M (6-7' tall),Champion (15),"4,000"
Skriaxit,Subtropical desert,Very rare,Pack,Any,See below,Exceptional (15-16),Nil,Neutral evil,45369,-5,"12, 18, or 24",16+16 or 24+24,5,2,2-20/2-20,"Sandstorm, <i>dispel magic</i>",+2 or better weapon to hit; see below,50%,L (10' tall),Fanatic (17-18),"16+16 HD: 16,000<br>24+24 HD: 24,000"
Skrit,Desert,Rare,Solitary,Night,Carnivore,Animal (1),Nil,Neutral,1,3,15,6,15,3,1d3/1d3/1d6,"Surprise, jellification",Nil,Nil,L (7'),Average (10),"2,000"
Skulk,Temperate to tropical/Woodlands and subterranean,Rare,Band,Night,Omnivore,Average (8-10),(F),Chaotic evil,45299,7,12,2,19,1,By weapon,Backstab,See below,Nil,M (5-6' tall),Unsteady (5-7),120
Skum,"Tropical, temperate subterranean",Very rare,Brood,Night,Omnivore,Animal to average (1-10),Nil,Lawful evil,2d4,7,"6, Sw 15",2+2,17,5,2d8/1d6 (&times;2)/1d8 (&times;2),Nil,Nil,See below,M (4-6' tall),Steady (11-12),175
Skuz,"Ponds, lakes",Very rare,Solitary,Any,,Exceptional (16),F,Chaotic evil,45297,0,"1, Sw 15",11,9,2,2-12/2-12,"Energy drain, spells",+2 or better weapon to hit,25%,M (4-7' long),Fearless (19-20),"15,000"
Skyfish,The Last Sea,Common,Flock,Day,Carnivore,Semi- (2),Nil,Neutral,45297,5,"3, Fl 30 (B), Sw 24",1+1,19,1,4-Jan,Nil,Nil,Nil,M (5-6' wingspan),Steady (12),65
Slinker,Any,Common,Pack,Any,Omnivore,Animal (1),Nil,Neutral,45311,7,15,½,20,1,1,Nil,Nil,Nil,T (8&rdquo; long),Unreliable (2-4),7
Slithering Hoard,Any,Very rare,Solitary,Any,Omnivorous scavenger,Low (5-7),"B,S,Z",Neutral evil,1,4,"9, Sw 6 (flaps like <a href=""ixitxach.html"">ixitxachitl</a>, <a href=""ray.html"">ray</a>)",5,17,2,2d8/2d8,Suffocation,"Immune to electrical, paralyzation, and fear, hold, polymorph, and sleep-based attacks",Nil,L (20' diameter sphere),Steady (11),"1,400"
Slithermorph,Any land or water,Rare,Solitary,Any,"Carnivorous, scavenger",Low (5-7),"J,K,L,M,Q (any glass, gemstone, or metal items)",Neutral evil,1,6,"9, Sw 12 (12, Sw 9)",7+7,13,2 (5),1-6 constriction + special (3-12 &times;4 + special),Acid discharge,Shapechange,Nil,"L (amorphous, generally 10' in length; or 12' long serpentine body)",Elite (14),"3,000"
"Slug, Giant",Subterranean and wet,Uncommon,Solitary,Any,Omnivore,Non- (0),Nil,Neutral,1,8,6,12,9,1,12-Jan,Spits acid,Immune to blunt weapons,Nil,H-G (25-50' long),Steady (12),"5,000"
Snake,Any temperate,Very rare,Solitary,Day,Carnivore,Animal (1),Nil,Neutral,45294,3,12,6,15,2,1-3/1-3,Poison,See below,Nil,M (13' long),Average (9),
"Snake, Giant Cobra",Any tropical,Common,Solitary,Day,Carnivore,Animal (1),Nil (W),Neutral,1d6,8,12,3,17,1,1d8 plus poison,"Poison, charm",Nil,Nil,H (12-24' long),Champion (15-16),270<br>Elder: 975
"Snake, Messenger",Any,Very rare,Solitary,Any,Omnivore,Highly (13-14),Nil,Neutral,1,4,"6, FI 24 (8)",3,17,1,1d6,Poison,Chameleon,30%,S (2' long),Steady (11-12),975
"Snake, Serpent Vine",Subterranean forest,Uncommon,Solitary,Any,Carnivorous,Average (E-10),Nil,Neutral (evil),1,4,15,10,11,1,1d12,"Constriction, spells",Camouflage,Nil,H (40' long),Elite (13-14),"2,000"
"Snake, Sewerm",Temperate/Subterranean or swamp,Rare,Solitary,Any,Carnivore,Animal (1),Nil,Neutral,45297,5,"12, Sw 9",4-Feb,2 HD: 19<br>3-4 HD: 17,1,4-Jan,Drain blood,Anaesthetic slime,Nil,2 HD: S (2-3')<br>3 HD: M (4-5')<br>4 HD: M (6'),Unsteady (6),2 HD: 120<br>3 HD: 175<br>4 HD: 270
"Snake, Winged",Tropical/Forests,Rare,Flocks,Any,Herbivore,Semi (2-4),Nil,Neutral,45330,5,"12, Fl 18 (B)",4+4,15,1,4-Jan,"Poison, spark shower",Immune to electricity,Nil,L (8-10' long),Average (9),"1,400"
Spectral Harpist,Any land,Very rare,Solitary (or guardian groups),Any ,Nil,As in life,Nil,Lawful neutral,1 (1-8),4,"12, Fl 14 (A)",9+9,11,2,2d4/2d4 or by weapon,Deathsong,"Wraithform, immunities",44%,M (average 6 ft. tall),Fearless (20),"9,000"
Spectral Minion,Any,Very rare,Varies,Any,Nil,Average (8-10),Nil,Varies,1-20 or more,2,30,Varies,Varies,"0, 1, or 2",Varies,See below,+1 or better to hit,20%,M (5-7' tall),Elite (13),"Philosopher: 975<br>Reveler: 975<br>Searcher: 975<br>Guardian: 1,400<br>Warrior: 1,400<br>Berserker: 1,400"
Spectral Scion,Any,Very rare,Solitary,Night,Nil,Average to high (8-14),Nil,Varies,1,2,15,9,12,2,1d8/1d8 or by weapon,"Con drain, bloodline drain","Hit only by +1 or better weapon, immune to tighmaevril weapons",See below,M,Champion (15),"5,000"
Spectral Wizard,Any,Very rare,Solitary,Any (usually night),Nil,High to Genius (13-18),V,Neutral,45293,0 or 8 (see below),"12, Fl 15 (B)",5,15,1,Special,"Spells, paralyzing touch",See below,Nil,M (6' tall),Champion (15-16),"Low level: 4,000<br>High level: 5,000"
Spectre,Desolate dungeons and ruins,Rare,Solitary,Darkness and night,Nil,High (13-14),"Q&times;3,X,Y",Lawful evil,45297,2,"15, Fl 30 (B)",7+3,13,1,8-Jan,Energy drain,+1 or better weapon to hit,See below,M (6' tall),Champion (15),"3,000"
Spell Weaver,Any land,Very rare,Solitary,Any,Herbivore,Genius (17-18),Magical items (see below),Neutral,1,2,12,10,11,See below,As per wizard spell,Surprise bonus when invisible,Immune to effects of pain and to psionics and fear-based attacks; planar impenetrability; innate spell powers; invisibility at will,50%,M (5' tall),Champion (15-16),"10,000"
"Sphinx, Draco-","Desert, mountain",Very rare,Solitary,Carnivore,Genius (17-18),Nil (F),Chaotic evil,Day,1,-1,"9, Fl 24 (D)",11+11,9,3,3d4/3d4/5d4,"Breath weapon, spells",Nil,Nil,H (9' tall at the shoulder),Fanatic (17-18),"12,000"
Spider Horse,Subterranean caverns,Very rare,Herd,Nocturnal,Carnivore,Semi- (2-4),Nil,Neutral,45297,2,"12, Wb 9",5+5,15,"3 (2 hooves, 1 bite)",1-6/1-6/2-8,"Slow, paralysis",See below,5%,L,Steady (12),"1,400"
"Spider, Asteroid",Asteroids,Rare,Colony,Any,Carnivore,Animal (1),Nil,Neutral,45299,7-Feb,"9, Wb 18",5+2,15,6 or 1,1-3 each or 1-6,Paralyze,Nil,Nil,M (5' wide),Average (9),650
"Spider, Brain",Subtropical caverns,Rare,Pack,Any,Brain fluid,Semi (2-4),Z,Lawful evil,1d6,2,"9, Cl 15",8,13,5,1d4/1d8 (&times;4),"Poison, graft weapons",Psionics,Nil,"M (6' diameter, including legs)",Average (8-10),"4,000"
"Spider, Monkey","Tropical rain forest, southern cities",Rare,Tribal,Day,Frugivore,Average to high (8-14),Nil,Neutral good,20-60 (In wild),6,Cl 18,1 hp,18,1,1 point,Eyebite,,Nil,T (1&rdquo; long),Fanatic (17-18),1
"Spirit, Forest, Uthraki",Forests (Rashemen),Rare,Solitary,Special,Carnivore,High (11-12),Nil (F),Chaotic evil,1,4,18,5,15,2,1d6/1d6,Strangle,See below,Nil,M (5'4&rdquo; tall),Steady (12),420
"Spirit, Forest, Wood Man",Forests (Rashemen),Very rare,Solitary,Any,Special,Genius (18),Nil,Chaotic good,1,4,24,20,3,2,3d10/3d10,"Crush, throw",50%,"Regeneration, immune to fire and electricity",G (50' tall),Fearless (20),"20,000"
"Spirit, Ice, Orglash","Mountains, icy regions (Rashemen)",Very rare,Solitary,Any,Unknown,Average (10),Nil,Chaotic neutral,1,0,"12, Fl 24 (D)",8,13,2,1d8/1d8,Cone of cold,"Immune to cold spells, regeneration",See below,M (5'4&rdquo; tall),Fanatic (18),"2,000"
"Spirit, Rock, Thomil",Mountains/rocky terrain (Rashemen),Very rare,Solitary,Mineral,Average (10),"Nil (Q&times;4,X)",Chaotic neutral,Any,1 (see below),-3,5,5,15,2,1d10/1d10,"Envelopment, smash",Block,25% or 50%,M,Fanatic (17-18),975
"Spirit, Wisdom",Any,Very Rare,Solitary,Night,,God-like (20),Nil,Lawful good,1,5,12,8+2,13,1,Nil,"Pacification, Fear","Cold iron or magic weapons to hit, plane shift",90%,M (6' tall),Elite (14),"4,000"
Spiritjam,Any space,Very rare,Solitary,Special,Nil,Exceptional (15-16),Nil,Any evil,1,0,Fl 24 (E),10,11,2,1-8/1-8,"Intelligence drain, spells",+1 edged weapon to hit,25%,M (5-6' tall),Champion (16),"13,000"
Spitting Crawler,Any non-arctic/subterranean,Rare,Solitary,Any,Omnivore,Low (7),Nil,Lawful neutral,1,6,16,2,19,1,2-Jan,Acid spit,cling to vertical + upside-down,30%,S (averages 3' long),Steady (12); see below,175
"Sprite, Seelie Faerie","Forests, sylvan setting",Very rare,Community,Any,Omnivore,Average to Very (10-12),Nil (D),Chaotic neutral,10-100,5,"6, Fl 18 (B)",1-Jan,20,1,By weapon,"Spell, sleep poison",Invisibility,25%,T (1&rdquo; to 1' tall),Steady (11-12),270<br>Noble: 420<br>Monarch: 650
"Sprite, Unseelie Faerie","Forests, sylvan setting",Very rare,Tribe,Night,Omnivore,Average (10),Nil (D),Chaotic evil,10-100,6,"6, Fl 18 (B)",1-Jan,20,1,By weapon,"Fear, spell, sleep poison",Invisibility,25%,T (1&rdquo; to 1' tall),Steady (12),420
Squeaker,Any land,Common,Tribe,Any,Nil,Low (5-7),Nil,Chaotic (any),2d20,10,12,½,20,1,1d4,Nil,Nil,Nil,Small (1' tall),Average (8-10),15
Squealer,"Temperate forest, tropical jungle",Very rare,Solitary,Day,Carnivore,Low (5-7),Nil (C),Neutral,45295,4,"9, Climb 15",10,11,4,1d6+6/1d4+1 (&times;3),"Drop, hug, rear claws for 1d4+1 each",Camouflage,Nil,L (8-9' tall),Steady (11-i2),"8,000"
"Squid, Squark",Ocean (The Last Sea),Very rare,Solitary,Any,Carnivore,Very (12),Nil,Neutral evil,1,May-00,"Sw 13, Jet 24",18,5,9,2-12 (&times;2)/1-6 (&times;6)/3-18,"Constriction, psionics","Ink, psionics",Nil,G (75' long),Champion (16),"15,000"
Steel Shadow,Any,Rare,Solitary or pack,Any,Carnivore,High (13-14),Special (animated metal),Chaotic neutral,45303,7 (2),14,4+4,17,5 + special,5-Feb,Animated metal,Immunity to lightning; metal merge,Nil,S (2½-4'),Elite (13),975
Stirge,Forests or subterranean,Uncommon,Clusters,Night,Blood,Animal (1),D,Nil,45381,8,"3, Fl 18 (C)",1+1,17,1,3-Jan,Blood drain,Nil,Nil,S (2' wingspan),Average (8),175
Stone Snake,Subterranean,Rare,Solitary,Any,Minerals,Animal (1),Q&times;5,Nil,45293,-2,9,8,13,1,2-20 or 1-8,Poison,"Immune to fire, poison; - damage by edged and piercing weapons",Nil,H (20-25' long),Steady (11),"3,000"
"Strider, Giant","Hot, volcanic regions",Rare,Flock,Any,Carnivore,Animal (1),Nil,Neutral evil,45297,4,15,2,19,2,1d4/1d10,Fireball,See below,Nil,L (8' tall),Steadv (11-12),270
Strigloi,Areas near cemeteries and burial grounds,Very rare,,Night,Children,13,,Chaotic Evil,1,0,"10 , Fl 18 (B)",4,17,3,1/1 claws+1d4 bite,"Poisonous bite, save vs. poison or take 1d10 points of damage. Paralyzing touch. If the Strigloi hits with both claws, it has grabbed and paralyzed its victim and may take to the sky with him or her.","1/2 damage from nonmagical weapons. Also, see below.",5%,M,Elite (13-14),"3,000"
Sull,Any,Rare,Group,Any,Carnivore,Average to Highly (8-14),Nil,Neutral,45297,9,Fl 8 or 16 (A),3 to 6,3-4 HD: 17<br>5-6 HD: 15,1,1-4 or 4-16,Nil,Gas cloua,Resistant to charms,L (20' diameter),Steady (11-U),"3 HD: 420<br>4 HD: 650<br>5 HD: 975<br>6 HD: 1,400"
Su-Monster,Dark areas/Wilderness and subterranean,Uncommon,Family/clan,Dawn and Sunset,Omnivorous,Average (8-10),"C,Y",Chaotic (evil),1d12,6,9,5+5,15,5,1d4/1d4/1d4/1d4/2d4,"Psionic, ambush",Psionic,Nil,M (large ape),Average (8-10),650
Survivor,Phlogiston,Very rare,Solitary,Any,Omnivore,Exceptional (15-16),W,Neutral good,1,10,0,10+,20,1,4-Jan,Mind control,,30%,M or S,Fearless (20),"3,000"
Suwyze,Any subterranean,Very rare,Solitary,Any,Omnivore,Exceptional (15-16),I,Neutral,1,4,"12, Cl 12",4+4,15,8,1d6,"Spells, tendrils",Never surprised,Nil,H (20' diameter),Steady (11-12),975
Svirfneblin (Deep Gnome),Subterranean,Very rare,Clan,Day,Omnivore,Exceptional (15-16),K (x2) and Q (x3),Neutral (good),45381,2 and better,9,3+6,17,1,By weapon,Stun darts at +2,"Save at +3, +2 vs. poison",20% (or more),S (3'),Elite (13),420
Syllix,Any space,Uncommon,Hive/platoon,Any,Carnivore,Average (8-10),D,Lawful evil,45334,7,12,3+1,17,1,1-8 (weapon),Nil,Nil,Nil,M (7' long/tall),Elite (13),175
"Symbiont, Power",Any non-cold,Rare,Colony,Any,Magical emanations,Animal (1),,Neutral,14611,9,¼,1,,0,Nil,See below,See below,Nil,"T (¼"" diameter)",Nil,175
Tabaxi,Tropical or subtropical jungle,Rare,Clan,Any,Carnivore,Average to High (8-14),U,Chaotic neutral,45330,6,15,2,19,3,1-3/1-3/1-3 or by weapon,Rear claw rake for 1d4+1/1d4+1,"Surprise, surprised only on a 1",Nil,M (6'-7' tall),Steady (11-12),"420<br>Clan leader: 975<br>Shaman, 3rd: 975<br>Shaman, 5th: 3,000"
Taer,Arctic and subartic/Mountains,Very rare,Clan,Day,Omnivore,Low (5-7),Nil (see below),Neutral,14885,4,18,3+6,17,3 or 1,1-6/1-4/1-4 or by weapon +3,Odor (see below),See below,Nil,M (6½' tall),Steady (11-12),270
"Tanar'ri, Greater, Goristro",Abyss,Very rare,Solitary,Any,Carnivore,Low (5-7),"B,C",Chaotic evil,1,-2,15,20,1,2 and 1,6d4+6/6d4+6 and 5d8,"Spells, stamp, hurl boulders","Immunities, regenerate, +1 or better weapon to hit",60%,H (21-24' tall),Champion (15-16),"23,000"
"Tanar'ri, Greater, Wastrilith",Water,Very rare,Solitary,Any,Nil,High (13-14),"25-50,000 gp",Chaotic evil,1,-1,"9, sw 15",15,5,3,1d8/1d8/1d12,See below,See below,25%,L (10' tall),Fanatic (17-18),"19,000"
